ID,NAME,DEVELOPERNAME,NAMESPACEPREFIX,DESCRIPTION,BUSINESSPROCESSID,SOBJECTTYPE,ISACTIVE,ISPERSONTYPE,CREATEDBYID,CREATEDDATE,LASTMODIFIEDBYID,LASTMODIFIEDDATE,SYSTEMMODSTAMP
0127Z000001IxstQAC,Approval - Final Rejection Action,Approval_Final_Rejection_Action,oAtlas,,,oAtlas__Automation_Step__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048399000,0050X00000A7cf7QAB,1634048399000,1634048399000
0127Z000001IxtSQAS,Profile,Profile,oAtlas,,,oAtlas__Profile__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048413000,0050X00000A7cf7QAB,1634048413000,1634048413000
0120X0000001D3NQAU,Parent,Parent,,This is the main parent record for incoming requests,,Change_Header__c,TRUE,FALSE,005b0000000L061AAC,1545407388000,005b0000000L061AAC,1545407388000,1545407388000
0120X000000shTlQAI,Calculated Column with Row Calculation,CalculatedColumnWithRowCalculation,ffr,Use this record type to add an intersection with a row calculation.,,ffr__ReportingIntersection__c,TRUE,FALSE,005b0000001FVCNAA4,1590526723000,005b0000001FVCNAA4,1590526723000,1590527799000
0120X000000shTsQAI,Row Filter,RowFilter,ffr,Use this record type to add a row filter to your reporting table. The default row filter is NONE.,,ffr__ReportingPageTableRow__c,TRUE,FALSE,005b0000001FVCNAA4,1590526725000,005b0000001FVCNAA4,1590526725000,1590527799000
01267000000gNtDAAU,Credits (On Account),Credits_On_Account,,,,Contract_Line_Items__c,TRUE,FALSE,0050X000008uaG0QAI,1626421285000,0050X000008uaG0QAI,1626421285000,1626421285000
01267000000gNtFAAU,Membership,Membership,,,,Contract_Line_Items__c,TRUE,FALSE,0050X000008uaG0QAI,1626421286000,0050X000008uaG0QAI,1626421286000,1626421286000
012b00000005I14AAE,Uncontrolled,Uncontrolled,c2g,,,c2g__codaBankReconciliation__c,TRUE,FALSE,005b0000001FVCNAA4,1401441958000,005b0000001FVCNAA4,1401441958000,1401443678000
012b00000005IgyAAE,Advertising,Advertising,,Such as sponsorship.,,Product2,TRUE,FALSE,005b0000000L04jAAC,1406028242000,0056700000ApyrGAAR,1628857264000,1628857264000
012b00000005Ih1AAE,Training & Events,Training_Events,,Products relating to training events.,,Product2,TRUE,FALSE,005b0000000L04jAAC,1406028243000,0056700000ApyrGAAR,1628857264000,1628857264000
012b00000005IhDAAU,Person Account,PersonAccount,,,,Account,TRUE,TRUE,005b0000000L05NAAS,1406045283000,0056700000BgxJ2AAJ,1634649096000,1634649096000
012b00000005KOcAAM,On Account Contract,On_Account_Contract,,Used for on Account sales,,Contract,TRUE,FALSE,005b0000000L061AAC,1423644737000,0057Z000008POQBQA4,1634667387000,1634667387000
012b00000005LJUAA2,Detail,Detail,ffr,This record type is only valid when the Data Range Type is ""Detail"".,,ffr__ReportingValue__c,TRUE,FALSE,005b0000001FVCNAA4,1436377347000,005b0000001FVCNAA4,1436377347000,1436378126000
012b0000000UdwXAAS,Analysis 3,Analysis_3,fferpcore,Used to sub-analyze billing documents and can be used to represent a number of different business concepts.,,fferpcore__AnalysisItem__c,TRUE,FALSE,005b0000001FVCNAA4,1510248927000,005b0000001FVCNAA4,1510248927000,1510249584000
012b0000000UdwdAAC,Intercompany for Centralized Selling - Sales Invoice,IntercompanyforCentralizedSellingSalesInvoice,c2g,The source document is a sales invoice. This option provides access to the inter company transfer sales invoice page layout. The sales invoice will facilitate Selling on Behalf.,,c2g__codaIntercompanyTransfer__c,TRUE,FALSE,005b0000001FVCNAA4,1510254410000,005b0000001FVCNAA4,1591521124000,1591521124000
012b0000000cdKAAAY,Form,Form,Loop,DocGen Package will be available as a form,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511133000,0050X000008uaG0QAI,1585225030000,1585225030000
012b00000005JzFAAU,WBI,WBI,,"OLD record type, no longer in use",019b00000004HdhAAE,Opportunity,TRUE,FALSE,005b0000000L061AAC,1418647320000,0050X00000A79ttQAB,1629269521000,1629269521000
012b00000005LJKAA2,GST,GST,c2g,Goods and Service Tax Companies. This option provides access to a corresponding GST page layout.,,c2g__codaCompany__c,TRUE,FALSE,005b0000001FVCNAA4,1436374688000,005b0000001FVCNAA4,1436374688000,1436375571000
012b0000000UdwWAAS,Analysis 2,Analysis_2,fferpcore,Used to sub-analyze billing documents and can be used to represent a number of different business concepts.,,fferpcore__AnalysisItem__c,TRUE,FALSE,005b0000001FVCNAA4,1510248927000,005b0000001FVCNAA4,1510248927000,1510249584000
012b0000000cdJqAAI,Attach,Attach,Loop,Allows you to run a DocGen Package to be attached to a record.,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511120000,0050X000008uaG0QAI,1585225029000,1585225029000
0127Z000001IxtKQAS,Login Hours,Login_Hours,oAtlas,,,oAtlas__Permission__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048406000,0050X00000A7cf7QAB,1634048406000,1634048406000
0127Z000001IxsfQAC,Email Alert,Email_Alert,oAtlas,,,oAtlas__Automation_Action__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048398000,0050X00000A7cf7QAB,1634048398000,1634048398000
0127Z000001IxsiQAC,Quick Action,Quick_Action,oAtlas,,,oAtlas__Automation_Action__c,TRUE,FALSE,0050X00000A7cf7QAB,1634048398000,0050X00000A7cf7QAB,1634048398000,1634048398000
0120X0000001D3MQAU,Child,Child,,Child change header for actual changes received,,Change_Header__c,TRUE,FALSE,005b0000000L061AAC,1545407387000,005b0000000L061AAC,1545407387000,1545407387000
0120X000000shTiQAI,Row,Row,ffr,This record type is used when the calculation is of type ""Row"". It allows you to create calculations based on the Row Filters included in the Reporting Definition.,,ffr__ReportingCalculation__c,TRUE,FALSE,005b0000001FVCNAA4,1590526721000,005b0000001FVCNAA4,1590526721000,1590527799000
0120X000000shTnQAI,Column Calculation,ColumnCalculation,ffr,Use this record type to add a column calculation to your reporting table.,,ffr__ReportingPageTableColumn__c,TRUE,FALSE,005b0000001FVCNAA4,1590526723000,005b0000001FVCNAA4,1590526723000,1590527799000
0120X000000shTpQAI,Value,Value,ffr,Use this record type to add a value column to your reporting table.,,ffr__ReportingPageTableColumn__c,TRUE,FALSE,005b0000001FVCNAA4,1590526724000,005b0000001FVCNAA4,1590526724000,1590527799000
01267000000gNtEAAU,Discount,Discount,,,,Contract_Line_Items__c,TRUE,FALSE,0050X000008uaG0QAI,1626421286000,0050X000008uaG0QAI,1626421286000,1626421286000
01267000000kppyAAA,LinkedIn Message,Message,LID,Record type for LinkedIn messages (sent to connections),,Task,TRUE,FALSE,0050X000008WJKzQAO,1611954227000,0050X00000A79ttQAB,1615805605000,1615805605000
012b00000005IgzAAE,Data,Data,,Data sets sold as one-off or as a licence.,,Product2,TRUE,FALSE,005b0000000L04jAAC,1406028242000,0056700000ApyrGAAR,1628857264000,1628857264000
012b00000005JyJAAU,Contact,Contact,,Assigning a Contact to an Event.,,Event_Assignment__c,TRUE,FALSE,005b0000000L061AAC,1418472726000,0050X000008WJKzQAO,1633967809000,1633967809000
012b00000005KOdAAM,Final Mark,Final_Mark,,,,Mark__c,TRUE,FALSE,005b0000000L061AAC,1423644737000,005b0000000L061AAC,1423644737000,1423644737000
012b00000005KOeAAM,Mark 1,Mark_1,,,,Mark__c,TRUE,FALSE,005b0000000L061AAC,1423644737000,005b0000000L061AAC,1423644737000,1423644737000
012b00000005KiQAAU,Product Package,Product_Package,,,,Opportunity_Bundle__c,TRUE,FALSE,005b0000000L061AAC,1427476686000,005b0000000L061AAC,1427476686000,1427476686000
012b00000005LJNAA2,Intercompany Journals,IntercompanyJournals,c2g,The source document is a journal. This option provides access to the inter company transfer journal page layout.,,c2g__codaIntercompanyTransfer__c,TRUE,FALSE,005b0000001FVCNAA4,1436374690000,005b0000001FVCNAA4,1591521124000,1591521124000
012b0000000cdJtAAI,DocGen Queue,Document_Queue,Loop,Allows the DocGen Package to be sent to the DocGen Queue tab,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511122000,0050X000008uaG0QAI,1585225029000,1585225029000
012b0000000cdJyAAI,LOOP,LOOP,Loop,Allows the DocGen Package to be sent to the LOOP tab,,Loop__DDP_Integration_Option__c,FALSE,FALSE,005b0000000L061AAC,1449511123000,0050X000008uaG0QAI,1585225029000,1585225029000
012b0000000cdK2AAI,SignNow,SignNow,Loop,Create an option to route this DocGen Package to SignNow,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511130000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdK9AAI,Custom Object,Custom_Object,Loop,DocGen Package will be available from a custom object only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511133000,0050X000008uaG0QAI,1585225030000,1585225030000
012b00000005I16AAE,VAT,VAT,c2g,Value Added Tax Companies. This option provides access to a corresponding VAT page layout.,,c2g__codaCompany__c,TRUE,FALSE,005b0000001FVCNAA4,1401441959000,005b0000001FVCNAA4,1401441959000,1401443678000
012b00000005Ih0AAE,Subscription,Subscription,,Products of varying types with a start and end date and that renew or are continuous.,,Product2,TRUE,FALSE,005b0000000L04jAAC,1406028242000,0056700000ApyrGAAR,1628857264000,1628857264000
012b00000005JdZAAU,Professional Services,Professional_Services,,Stand alone sales with no post sale automation required.,,Product2,TRUE,FALSE,005b0000000L061AAC,1415187781000,0056700000ApyrGAAR,1628857264000,1628857264000
012b00000005LJOAA2,Intercompany Sales,IntercompanySales,c2g,The source document is a sales invoice. This option provides access to the inter company transfer sales invoice page layout.,,c2g__codaIntercompanyTransfer__c,TRUE,FALSE,005b0000001FVCNAA4,1436374690000,005b0000001FVCNAA4,1591521124000,1591521124000
012b0000000cdJrAAI,Content Delivery,ContentDelivery,Loop,Create an option to route this DocGen Package to Content Delivery,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511121000,0050X000008uaG0QAI,1585225029000,1585225029000
012b0000000cdK1AAI,Sertifi,Sertifi,Loop,Create an option to route this DocGen Package to Sertifi,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511130000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdK5AAI,Account,Account,Loop,DocGen Package will be available from an Account only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511131000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdK7AAI,Contact,Contact,Loop,DocGen Package will be available from a Contact only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511132000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdKCAAY,Nintex Form (Deprecated),Nintex_Form,Loop,DocGen Package will be available only for Nintex Forms,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511134000,0050X000008WJKzQAO,1610543124000,1610543124000
012b0000000cdKEAAY,Quote,Quote,Loop,DocGen Package will be available from a Quote only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511134000,0050X000008uaG0QAI,1585225030000,1585225030000
01267000000kpq0AAA,Smart Links Viewed,PointDrive_Presentation_Viewed,LID,Record type for Smart Links viewed,,Task,TRUE,FALSE,0050X000008WJKzQAO,1611954227000,0050X00000A79ttQAB,1615805625000,1615805625000
012b00000005I15AAE,SUT,SUT,c2g,Sales and Use Tax Companies. This option provides access to a corresponding SUT page layout.,,c2g__codaCompany__c,TRUE,FALSE,005b0000001FVCNAA4,1401441959000,005b0000001FVCNAA4,1401441959000,1401443678000
012b00000005JebAAE,Quote,Quote,,,,Quote,TRUE,FALSE,005b0000000L061AAC,1415292031000,005b0000000L061AAC,1415292031000,1415292031000
012b00000005KiRAAU,Programme,Programme,,,,Opportunity_Bundle__c,TRUE,FALSE,005b0000000L061AAC,1427476686000,005b0000000L061AAC,1427476686000,1427476686000
012b0000000cdJxAAI,HTTP Service,HTTP_Service,Loop,Create an option to route this DocGen Package to any HTTP Service,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511123000,0050X000008uaG0QAI,1585225029000,1585225029000
012b00000005JdWAAU,Closed Event,Closed_Event,,,,Event__c,TRUE,FALSE,005b0000000L061AAC,1415187780000,0057Z000008POQBQA4,1634725789000,1634725789000
012b0000000UdwYAAS,Analysis 4,Analysis_4,fferpcore,Used to sub-analyze billing documents and can be used to represent a number of different business concepts.,,fferpcore__AnalysisItem__c,TRUE,FALSE,005b0000001FVCNAA4,1510248928000,005b0000001FVCNAA4,1510248928000,1510249584000
012b0000000cdK3AAI,OneSpan Sign,e_SignLive,Loop,Create an option to route this DocGen Package to OneSpan Sign,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511130000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdKBAAY,Lead,Lead,Loop,DocGen Package will be available from a Lead only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511133000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdKFAAY,Report,Report,Loop,DocGen Package will be available as an automated email only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511135000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdKKAAY,Text,Text,Loop,"Text field (e.g. plain text, email, date, number, ssn, zip, and zip-4)",,Loop__SecureField__c,TRUE,FALSE,005b0000000L061AAC,1449511136000,005b0000000L061AAC,1449511136000,1449511441000
012b0000000cdKLAAY,Text Area,Text_Area,Loop,Text Area field,,Loop__SecureField__c,TRUE,FALSE,005b0000000L061AAC,1449511136000,005b0000000L061AAC,1449511136000,1449511441000
012b0000000g4ndAAA,Queued Send Definition,Queued_Send_Definition,et4ae5,,,et4ae5__SendDefinition__c,TRUE,FALSE,005b0000000L061AAC,1468340132000,005b0000000L061AAC,1468340132000,1468340676000
012b0000000g4nfAAA,Trackable Send Definition,Trackable_Send_Definition,et4ae5,,,et4ae5__SendDefinition__c,TRUE,FALSE,005b0000000L061AAC,1468340133000,005b0000000L061AAC,1468340133000,1468340676000
012b0000000g59zAAA,Combined,COMB,c2g,Multi-tier Tax Companies. This option provides access to a corresponding Combined tax page layout.,,c2g__codaCompany__c,TRUE,FALSE,005b0000001FVCNAA4,1473962565000,005b0000001FVCNAA4,1473962565000,1473964370000
012b0000000cdJsAAI,DocuSign,DocuSign,Loop,Create an option to route this DocGen Package to DocuSign,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511122000,0050X000008uaG0QAI,1585225029000,1585225029000
012b00000005LJVAA2,Summary,Summary,ffr,This record type is only valid when the Data Range Type is ""Summary"".,,ffr__ReportingValue__c,TRUE,FALSE,005b0000001FVCNAA4,1436377348000,005b0000001FVCNAA4,1436377348000,1436378126000
012b0000000UdwbAAC,Intercompany for Centralized Buying - Payable Invoice,IntercompanyforCentralizedBuyingPayableInvoice,c2g,The source document is a payable invoice. This option provides access to the inter company transfer payable  invoice page layout.,,c2g__codaIntercompanyTransfer__c,TRUE,FALSE,005b0000001FVCNAA4,1510254410000,005b0000001FVCNAA4,1591521124000,1591521124000
012b0000000cdJwAAI,Email,Email,Loop,Create a Delivery Option to route the DocGen Package via email.,,Loop__DDP_Integration_Option__c,TRUE,FALSE,005b0000000L061AAC,1449511123000,0050X000008uaG0QAI,1585225029000,1585225029000
012b0000000cdK4AAI,API,API,Loop,,,Loop__DDP__c,FALSE,FALSE,005b0000000L061AAC,1449511130000,0050X000008uaG0QAI,1585225024000,1585225024000
012b0000000cdKDAAY,Opportunity,Opportunity,Loop,DocGen Package will be available from an Opportunity only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511134000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000g4nZAAQ,Active,Active,et4ae5,,,et4ae5__Automated_Send__c,TRUE,FALSE,005b0000000L061AAC,1468340131000,005b0000000L061AAC,1468340131000,1468340676000
012b0000000g4nbAAA,Queued SMS Definition,Queued_SMS_Definition,et4ae5,,,et4ae5__SMSDefinition__c,TRUE,FALSE,005b0000000L061AAC,1468340132000,005b0000000L061AAC,1468340132000,1468340676000
012b0000000g4neAAA,Send Definition,Send_Definition,et4ae5,,,et4ae5__SendDefinition__c,TRUE,FALSE,005b0000000L061AAC,1468340132000,005b0000000L061AAC,1468340132000,1468340676000
012b00000005KzZAAU,BWD,BWD,,BWD,019b00000004HdcAAE,Lead,TRUE,FALSE,005b0000000L05NAAS,1430896087000,0057Z000008POQBQA4,1631870352000,1631870352000
012b0000000UdwcAAC,Intercompany for Centralized Selling - Sales Credit Note,IntercompanyforCentralizedSellingSalesCreditNote,c2g,The source document is a sales credit note. This option provides access to the inter company transfer sales credit note page layout. The sales credit note will facilitate Selling on Behalf.,,c2g__codaIntercompanyTransfer__c,TRUE,FALSE,005b0000001FVCNAA4,1510254410000,005b0000001FVCNAA4,1591521124000,1591521124000
012b0000000cdK6AAI,Case,Case,Loop,DocGen Package will be available from a Case only,,Loop__DDP__c,TRUE,FALSE,005b0000000L061AAC,1449511131000,0050X000008uaG0QAI,1585225030000,1585225030000
012b0000000cdKJAAY,Radio,Radio,Loop,Radio field,,Loop__SecureField__c,TRUE,FALSE,005b0000000L061AAC,1449511136000,005b0000000L061AAC,1449511136000,1449511441000
012b0000000g4naAAA,Inactive,Inactive,et4ae5,,,et4ae5__Automated_Send__c,TRUE,FALSE,005b0000000L061AAC,1468340132000,005b0000000L061AAC,1468340132000,1468340676000
